time_s,radius_m,max_C,min_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0,0.02,2.5500000000000003,2.55,2.55,2.5500000000000003,2.5440339260446234,28.0,27.999999999999943
60,0.02,2.5499999999999967,2.216431331684278,2.5379041266732907,2.5499999999999945,2.355584931800527,28.52800000000002,28.52800000000002
120,0.02,2.5499999999998844,2.0541946279951664,2.5262751054884243,2.5499999999998804,2.26707305347632,29.19199999999995,29.19199999999995
180,0.02,2.549999999998676,1.9430464659144437,2.514978295145823,2.549999999998673,2.2044618337343533,29.684000000000026,29.68399999999997
240,0.02,2.5499999999902743,1.8563969729545557,2.503948916470061,2.549999999990274,2.1543476125384244,30.036999999999978,30.037000000000035
300,0.02,2.5499999999425658,1.7883501213972348,2.493133118689496,2.5499999999425658,2.1144693256350533,30.833999999999946,30.833999999999946
360,0.02,2.5499999997284046,1.729694113495554,2.4825065049676596,2.5499999997284046,2.0792971666231765,31.293000000000006,31.293000000000006
420,0.02,2.5499999989114213,1.6791913621732493,2.4720460415381638,2.5499999989114213,2.0485697561388676,31.819999999999936,31.819999999999993
480,0.02,2.549999996261854,1.6333450705011503,2.4617397684728886,2.549999996261854,2.0201470927279996,32.12099999999998,32.12099999999998
540,0.02,2.5499999884214617,1.5940474069693498,2.451567708291966,2.5499999884214617,1.9956020718197434,32.73000000000002,32.730000000000075
600,0.02,2.549999967538982,1.558405433740498,2.4415197153154793,2.549999967538982,1.9729876782750007,33.202,33.202000000000055
660,0.02,2.5499999155675313,1.5274374323115372,2.4315803628412103,2.5499999155675313,1.9531919872831995,33.87900000000002,33.87899999999996
720,0.02,2.5499997977537707,1.4979649515082318,2.421746602908153,2.5499997977537707,1.9340107911600641,34.26800000000003,34.26800000000003
780,0.02,2.5499995459902847,1.4714898856066059,2.412009161302538,2.5499995459902847,1.916652575984126,34.80599999999998,34.80599999999998
840,0.02,2.549999046053658,1.4460663956687032,2.4023664269647416,2.549999046053658,1.8997309700594895,35.141999999999996,35.14200000000005
900,0.02,2.549998105340519,1.4223882189740238,2.3928123860243566,2.549998105340519,1.8838343878867887,35.52400000000006,35.52400000000006
960,0.02,2.54999639959518,1.4013800943801424,2.383337026237327,2.54999639959518,1.869649075774301,36.09099999999995,36.09099999999995
1020,0.02,2.5499934883616198,1.3804214767078462,2.3739422555021723,2.5499934883616198,1.8552630916041244,36.35400000000004,36.353999999999985
1080,0.02,2.5499885919117227,1.3629624947389094,2.3646164002572454,2.5499885919117227,1.8432821697070714,37.06700000000001,37.06700000000001
1140,0.02,2.5499807796991214,1.3453875503637007,2.3553595392644833,2.5499807796991214,1.8309969150426637,37.41899999999998,37.41899999999998
1200,0.02,2.5499686586466024,1.3291520700230866,2.3461688028155914,2.5499686586466024,1.819575405726542,37.882000000000005,37.88200000000006
1260,0.02,2.5499506176817746,1.3127364440972626,2.337043681781335,2.5499506176817746,1.8078898492461295,38.134000000000015,38.134000000000015
1320,0.02,2.549923998152936,1.298876487505288,2.327975329048918,2.549923998152936,1.798007715749737,38.76700000000005,38.76700000000011
1380,0.02,2.549886157137941,1.2849928541170967,2.318966079124373,2.549886157137941,1.787946518108952,39.125,39.125
1440,0.02,2.549833707423505,1.2714068114119927,2.3100127193258886,2.549833707423505,1.7780351597347923,39.45799999999991,39.45799999999991
1500,0.02,2.5497633124197576,1.2572780520529014,2.3011189826272624,2.5497633124197576,1.7676390533354909,39.595000000000084,39.595000000000084
1560,0.02,2.549669340855511,1.244941069502283,2.2922777144107425,2.549669340855511,1.7585397854494977,40.06099999999998,40.06100000000009
1620,0.02,2.549547769074369,1.2320946791874896,2.2834915570391776,2.549547769074369,1.748948966627926,40.238000000000056,40.238
1680,0.02,2.549391760402471,1.2204150591490308,2.274756051369931,2.549391760402471,1.7401935653103375,40.62099999999998,40.62099999999998
1740,0.02,2.5491930072504307,1.2102774866648087,2.266065766918732,2.5491930072504307,1.732516853350664,41.166,41.166000000000054
1800,0.02,2.548945344215512,1.2001074156131692,2.257421407012906,2.548945344215512,1.7247172074403085,41.51299999999992,41.51299999999992
1860,0.02,2.5486399972367852,1.1905277026054053,2.2488205153488035,2.5486399972367852,1.7173166957268795,41.91800000000006,41.918000000000006
1920,0.02,2.5482742812915795,1.1796504152262317,2.2402694767641695,2.5482742812915795,1.7088662410663928,41.95199999999994,41.952
1980,0.02,2.547836538352141,1.169733684887503,2.231763744796261,2.547836538352141,1.7011486502937756,42.26299999999998,42.263000000000034
2040,0.02,2.547317735566724,1.1603695162767325,2.2233006219320233,2.547317735566724,1.6937978738233523,42.589,42.58899999999994
2100,0.02,2.54671337216578,1.1506392814045008,2.2148821928399105,2.54671337216578,1.686113735411469,42.745000000000005,42.745000000000005
2160,0.02,2.5460136258317445,1.1413240991564775,2.206507321312935,2.5460136258317445,1.67872271112026,42.985000000000014,42.98499999999996
2220,0.02,2.5452045594503283,1.1330833970709075,2.1981722712827207,2.5452045594503283,1.6721136281681295,43.39300000000003,43.39300000000003
2280,0.02,2.5442865781086246,1.1242381632995226,2.1898789843099444,2.5442865781086246,1.664977831864811,43.53399999999999,43.533999999999935
2340,0.02,2.5432401592777896,1.1166104602641114,2.1816210776584586,2.5432401592777896,1.6587768612049085,43.97000000000003,43.97000000000003
